소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료)
식품의약품안전처,의료기기 RA전문가,2급,한국의료기기안전정보원,2024-01-01,2028-12-31,2019-01-01,2023-12-31
금융위원회,신용관리사,등급없음,(사)신용정보협회,2023-02-15,2028-02-14,2006-02-15,2023-02-14
금융위원회,신용위험분석사(CRA),등급없음,(사)한국금융연수원,2024-02-15,2029-02-14,2006-02-15,2024-02-14
금융위원회,신용분석사,등급없음,(사)한국금융연수원,2020-01-20,2024-12-31,2001-01-20,2020-01-19
금융위원회,여신심사역,등급없음,(사)한국금융연수원,2020-01-20,2024-12-31,2001-01-20,2020-01-19
금융위원회,자산관리사(FP),등급없음,(사)한국금융연수원,2021-01-05,2026-01-04,2005-01-05,2021-01-04
금융위원회,재경관리사,등급없음,삼일회계법인,2023-04-01,2026-03-31,2007-04-01,2023-03-31
금융위원회,회계관리,"1급, 2급",삼일회계법인,2023-04-01,2026-03-31,2007-04-01,2023-03-31
금융위원회,AT(Accounting Technician),"TAT1급, TAT2급, FAT1급, FAT2급",한국공인회계사회,2022-12-01,2025-11-30,2015-12-01,2022-11-30
금융위원회,개인보험심사역,등급없음,사단법인 보험연수원,2021-01-01,2025-12-31,2016-01-01,2020-12-31
금융위원회,기업보험심사역,등급없음,사단법인 보험연수원,2021-01-01,2025-12-31,2016-01-01,2020-12-31
금융위원회,신용상담사,등급없음,신용회복위원회,2022-01-01,2026-12-31,2017-01-01,2021-12-31
기획재정부,국제금융역,등급없음,(사)한국금융연수원,2021-01-20,2026-01-19,2001-01-20,2021-01-19
기획재정부,"외환전문역I,II종","Ⅰ종, Ⅱ종",(사)한국금융연수원,2020-12-01,2025-11-30,2010-12-01,2020-11-30
기획재정부,경제이해력검증시험(TESAT),"S급, 1급, 2급, 3급",한국경제신문,2021-11-10,2024-11-09,2010-11-10,2021-11-09
기획재정부,매경TEST,"최우수, 우수",매일경제신문사,2021-12-22,2024-12-21,2010-12-22,2021-12-21
기획재정부,세무회계,"1급, 2급, 3급",한국세무사회,2023-01-01,2027-12-31,2013-01-01,2022-12-31
기획재정부,청소년경제이해력검증시험 주니어 TESAT(테샛),"S급, 1급, 2급, 3급",한국경제신문,2021-12-13,2024-12-12,2013-12-13,2021-12-12
기획재정부,경제·금융이해력인증시험(틴매경 TEST),"A+, A, B",매일경제신문사,2021-12-13,2024-12-12,2013-12-13,2021-12-12
기획재정부,원가분석사,등급없음,(사)한국원가관리협회,2024-01-01,2028-12-31,2014-01-01,2023-12-31
과학기술정보통신부,e-Test Professionals,"1급, 2급, 3급, 4급",(사)한국창의인성교육연구원,2023-02-17,2027-02-16,2001-01-12,2023-02-16
과학기술정보통신부,PC활용능력평가시험(PCT),"A급, B급",(주)피씨티,2022-02-17,2025-02-16,2001-01-12,2022-02-16
과학기술정보통신부,리눅스마스터,"1급, 2급",(사)한국정보통신진흥협회,2023-01-15,2027-01-14,2005-01-15,2023-01-14
과학기술정보통신부,디지털정보활용능력(DIAT),"초급, 중급, 고급",(사)한국정보통신진흥협회,2021-02-17,2026-02-16,2003-02-17,2021-02-16
과학기술정보통신부,네트워크관리사,2급,(사)한국정보통신자격협회,2024-01-20,2029-01-19,2002-01-20,2024-01-19
과학기술정보통신부,PC정비사,"1급, 2급",(사)한국정보통신자격협회,2022-01-15,2026-01-14,2005-01-15,2022-01-14
과학기술정보통신부,정보기술자격(ITQ)시험,"A급, B급, C급",한국생산성본부,2021-01-20,2026-01-19,2002-01-11,2021-01-19
과학기술정보통신부,PC Master(정비사),등급없음,(사)한국정보평가협회,2023-02-23,2026-02-22,2006-02-23,2023-02-22
과학기술정보통신부,데이터아키텍처,전문가,(재)한국데이터산업진흥원,2024-01-01,2027-12-31,2008-01-01,2023-12-31
과학기술정보통신부,SQL,"전문가, 개발자",(재)한국데이터산업진흥원,2023-01-01,2027-12-31,2013-01-01,2022-12-31
과학기술정보통신부,ERP물류정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31
과학기술정보통신부,ERP생산정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31
과학기술정보통신부,ERP인사정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31
