대분류(NCS),중분류(NCS),소분류(NCS),세분류(NCS),코드(KECO),세분류(KECO)
01. 사업관리,01. 사업관리,01. 프로젝트관리,01. 공적개발원조사업관리,0210,정부·공공행정 전문가
01. 사업관리,01. 사업관리,01. 프로젝트관리,01. 공적개발원조사업관리,0254,국가·지방행정 사무원
01. 사업관리,01. 사업관리,01. 프로젝트관리,01. 공적개발원조사업관리,0255,공공행정 사무원
01. 사업관리,01. 사업관리,01. 프로젝트관리,02. 프로젝트관리,0261,기획·마케팅 사무원
01. 사업관리,01. 사업관리,01. 프로젝트관리,03. 산학협력관리,0263,총무 사무원 및 대학 행정조교
01. 사업관리,01. 사업관리,02. 해외관리,01. 해외법인설립관리,0261,기획·마케팅 사무원
01. 사업관리,01. 사업관리,02. 해외관리,02. 해외취업관리,2314,직업상담사
02. 경영·회계·사무,01. 기획사무,01. 경영기획,01. 경영기획,0210,정부·공공행정 전문가
02. 경영·회계·사무,01. 기획사무,01. 경영기획,01. 경영기획,0221,경영·진단 전문가
02. 경영·회계·사무,01. 기획사무,01. 경영기획,01. 경영기획,0254,국가·지방행정 사무원
02. 경영·회계·사무,01. 기획사무,01. 경영기획,01. 경영기획,0255,공공행정 사무원
02. 경영·회계·사무,01. 기획사무,01. 경영기획,01. 경영기획,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,01. 경영기획,02. 경영평가,0221,경영·진단 전문가
02. 경영·회계·사무,01. 기획사무,01. 경영기획,02. 경영평가,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,02. 홍보·광고,01. PR,0241,광고·홍보 전문가
02. 경영·회계·사무,01. 기획사무,02. 홍보·광고,01. PR,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,02. 홍보·광고,02. 광고,0241,광고·홍보 전문가
02. 경영·회계·사무,01. 기획사무,02. 홍보·광고,02. 광고,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,01. 마케팅전략기획,0221,경영·진단 전문가
02. 경영·회계·사무,01. 기획사무,03. 마케팅,01. 마케팅전략기획,0241,광고·홍보 전문가
02. 경영·회계·사무,01. 기획사무,03. 마케팅,01. 마케팅전략기획,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,02. 고객관리,0243,상품 기획자
02. 경영·회계·사무,01. 기획사무,03. 마케팅,02. 고객관리,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,02. 고객관리,0292,고객 상담원 및 모니터 요원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,03. 통계조사,0242,조사 전문가
02. 경영·회계·사무,01. 기획사무,03. 마케팅,03. 통계조사,0293,통계 사무원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,04. 유통관리,0261,기획·마케팅 사무원
02. 경영·회계·사무,01. 기획사무,03. 마케팅,04. 유통관리,0283,자재·구매·물류 사무원
02. 경영·회계·사무,02. 총무·인사,01. 총무,01. 총무,0210,정부·공공행정 전문가
02. 경영·회계·사무,02. 총무·인사,01. 총무,01. 총무,0254,국가·지방행정 사무원
02. 경영·회계·사무,02. 총무·인사,01. 총무,01. 총무,0255,공공행정 사무원
02. 경영·회계·사무,02. 총무·인사,01. 총무,01. 총무,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,02. 총무·인사,01. 총무,02. 자산관리,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,02. 총무·인사,01. 총무,03. 비상기획,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,02. 총무·인사,02. 인사·조직,01. 인사,0222,인사·노무 전문가
02. 경영·회계·사무,02. 총무·인사,02. 인사·조직,01. 인사,0262,인사·교육·훈련 사무원
02. 경영·회계·사무,02. 총무·인사,02. 인사·조직,02. 노무관리,0222,인사·노무 전문가
02. 경영·회계·사무,02. 총무·인사,02. 인사·조직,02. 노무관리,0262,인사·교육·훈련 사무원
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,01. 비서,0294,비서
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,02. 사무행정,0210,정부·공공행정 전문가
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,02. 사무행정,0254,국가·지방행정 사무원
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,02. 사무행정,0255,공공행정 사무원
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,02. 사무행정,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,02. 총무·인사,03. 일반사무,02. 사무행정,0295,전산자료 입력원 및 사무 보조원
02. 경영·회계·사무,03. 재무·회계,01. 재무,01. 예산,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,03. 재무·회계,01. 재무,01. 예산,0271,회계 사무원
02. 경영·회계·사무,03. 재무·회계,01. 재무,01. 예산,0272,경리 사무원
02. 경영·회계·사무,03. 재무·회계,01. 재무,02. 자금,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,03. 재무·회계,01. 재무,02. 자금,0271,회계 사무원
02. 경영·회계·사무,03. 재무·회계,01. 재무,02. 자금,0272,경리 사무원
02. 경영·회계·사무,03. 재무·회계,02. 회계,01. 회계·감사,0231,회계사
02. 경영·회계·사무,03. 재무·회계,02. 회계,01. 회계·감사,0232,세무사
02. 경영·회계·사무,03. 재무·회계,02. 회계,01. 회계·감사,0264,감사 사무원
02. 경영·회계·사무,03. 재무·회계,02. 회계,01. 회계·감사,0271,회계 사무원
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0231,회계사
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0232,세무사
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0233,관세사
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0251,조세행정 사무원
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0252,관세행정 사무원
02. 경영·회계·사무,03. 재무·회계,02. 회계,02. 세무,0271,회계 사무원
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,01. 구매조달,0263,총무 사무원 및 대학 행정조교
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,01. 구매조달,0283,자재·구매·물류 사무원
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,02. 자재관리,0283,자재·구매·물류 사무원
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,03. 공정관리,0284,생산·품질 사무원
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,04. SCM,0283,자재·구매·물류 사무원
02. 경영·회계·사무,04. 생산·품질관리,01. 생산관리,04. SCM,0284,생산·품질 사무원
02. 경영·회계·사무,04. 생산·품질관리,02. 품질관리,01. QM/QC관리,0284,생산·품질 사무원
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,02. 수출입관리,0233,관세사
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,02. 수출입관리,0281,무역 사무원
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,03. 원산지관리,0281,무역 사무원
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,05. 물류기획,0283,자재·구매·물류 사무원
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,06. 운송관리,0283,자재·구매·물류 사무원
02. 경영·회계·사무,04. 생산·품질관리,03. 물류무역관리,07. 보관·하역관리,0283,자재·구매·물류 사무원
03. 금융·보험,01. 금융,01. 금융영업,01. 창구사무,0324,출납창구 사무원
03. 금융·보험,01. 금융,01. 금융영업,02. 기업영업,0321,은행 사무원
03. 금융·보험,01. 금융,01. 금융영업,02. 기업영업,0322,증권 사무원
03. 금융·보험,01. 금융,01. 금융영업,02. 기업영업,0323,보험 심사원 및 사무원
03. 금융·보험,01. 금융,01. 금융영업,03. PB영업,0321,은행 사무원
03. 금융·보험,01. 금융,01. 금융영업,03. PB영업,0322,증권 사무원
03. 금융·보험,01. 금융,01. 금융영업,04. 카드영업,0321,은행 사무원
03. 금융·보험,01. 금융,01. 금융영업,05. 여신전문금융영업,0321,은행 사무원
03. 금융·보험,01. 금융,01. 금융영업,05. 여신전문금융영업,0331,대출 및 신용카드 모집인
03. 금융·보험,01. 금융,02. 금융상품개발,01. 여수신상품개발,0313,보험·금융상품 개발자
03. 금융·보험,01. 금융,02. 금융상품개발,02. 투자상품개발,0313,보험·금융상품 개발자
03. 금융·보험,01. 금융,02. 금융상품개발,03. 연금상품개발,0313,보험·금융상품 개발자
03. 금융·보험,01. 금융,02. 금융상품개발,04. 카드상품개발,0313,보험·금융상품 개발자
03. 금융·보험,01. 금융,03. 신용분석,01. 개인신용분석,0311,투자·신용 분석가
03. 금융·보험,01. 금융,03. 신용분석,01. 개인신용분석,0321,은행 사무원
03. 금융·보험,01. 금융,03. 신용분석,01. 개인신용분석,0323,보험 심사원 및 사무원
03. 금융·보험,01. 금융,03. 신용분석,02. 기업신용분석,0311,투자·신용 분석가
03. 금융·보험,01. 금융,03. 신용분석,03. 여신심사,0321,은행 사무원
03. 금융·보험,01. 금융,03. 신용분석,03. 여신심사,0323,보험 심사원 및 사무원
03. 금융·보험,01. 금융,04. 자산운용,01. 펀드운용,0312,자산 운용가
03. 금융·보험,01. 금융,04. 자산운용,02. 주식·채권운용,0312,자산 운용가
03. 금융·보험,01. 금융,04. 자산운용,02. 주식·채권운용,0314,증권·외환 딜러
03. 금융·보험,01. 금융,04. 자산운용,03. 파생상품운용,0312,자산 운용가
03. 금융·보험,01. 금융,04. 자산운용,03. 파생상품운용,0314,증권·외환 딜러
03. 금융·보험,01. 금융,04. 자산운용,04. 대체투자,0312,자산 운용가
03. 금융·보험,01. 금융,04. 자산운용,05. 신탁자산관리,0312,자산 운용가
03. 금융·보험,01. 금융,05. 금융영업지원,01. 결제,0321,은행 사무원
03. 금융·보험,01. 금융,05. 금융영업지원,01. 결제,0322,증권 사무원
03. 금융·보험,01. 금융,05. 금융영업지원,01. 결제,0323,보험 심사원 및 사무원
03. 금융·보험,01. 금융,05. 금융영업지원,02. 채권추심,0325,수금원 및 신용 추심원
03. 금융·보험,01. 금융,05. 금융영업지원,03. 리스크관리,0311,투자·신용 분석가
03. 금융·보험,01. 금융,05. 금융영업지원,03. 리스크관리,0313,보험·금융상품 개발자
03. 금융·보험,01. 금융,05. 금융영업지원,03. 리스크관리,0321,은행 사무원
03. 금융·보험,01. 금융,05. 금융영업지원,03. 리스크관리,0322,증권 사무원
03. 금융·보험,01. 금융,05. 금융영업지원,03. 리스크관리,0323,보험 심사원 및 사무원
03. 금융·보험,01. 금융,06. 증권·외환,01. 증권거래업무,0314,증권·외환 딜러
03. 금융·보험,01. 금융,06. 증권·외환,01. 증권거래업무,0322,증권 사무원
03. 금융·보험,01. 금융,06. 증권·외환,02. 외환·파생업무,0314,증권·외환 딜러
03. 금융·보험,01. 금융,06. 증권·외환,02. 외환·파생업무,0321,은행 사무원
03. 금융·보험,01. 금융,06. 증권·외환,03. 인수업무,0321,은행 사무원
03. 금융·보험,01. 금융,06. 증권·외환,03. 인수업무,0322,증권 사무원
03. 금융·보험,01. 금융,06. 증권·외환,04. 증권상장업무,0322,증권 사무원
03. 금융·보험,01. 금융,06. 증권·외환,05. 외화조달·외화대출업무,0321,은행 사무원
03. 금융·보험,01. 금융,06. 증권·외환,06. 무역금융업무,0321,은행 사무원
03. 금융·보험,02. 보험,01. 보험상품개발,01. 보험동향분석,0313,보험·금융상품 개발자
03. 금융·보험,02. 보험,01. 보험상품개발,02. 보험상품개발,0313,보험·금융상품 개발자
03. 금융·보험,02. 보험,01. 보험상품개발,03. 보험계리,0313,보험·금융상품 개발자
03. 금융·보험,02. 보험,02. 보험영업·계약,01. 보험모집,0332,보험 모집인 및 투자 권유 대행인
03. 금융·보험,02. 보험,02. 보험영업·계약,02. 보험계약심사,0323,보험 심사원 및 사무원
03. 금융·보험,02. 보험,02. 보험영업·계약,03. 보험계약·보전,0323,보험 심사원 및 사무원
03. 금융·보험,02. 보험,02. 보험영업·계약,04. 위험관리,0323,보험 심사원 및 사무원
03. 금융·보험,02. 보험,03. 손해사정,01. 재물손해사정,0315,손해사정사
03. 금융·보험,02. 보험,03. 손해사정,02. 차량손해사정,0315,손해사정사
03. 금융·보험,02. 보험,03. 손해사정,03. 신체손해사정,0315,손해사정사
04. 교육·자연· 사회과학,01. 학교교육,01. 학교교육,01. 유아교육,2130,유치원 교사
04. 교육·자연· 사회과학,01. 학교교육,01. 학교교육,02. 초등교육,2122,초등학교 교사
04. 교육·자연· 사회과학,01. 학교교육,01. 학교교육,03. 중등교육,2121,중·고등학교 교사
04. 교육·자연· 사회과학,01. 학교교육,01. 학교교육,04. 특수교육,2123,특수교육 교사
04. 교육·자연· 사회과학,02. 평생교육,01. 평생교육,01. 평생교육,2141,문리·어학 강사
04. 교육·자연· 사회과학,02. 평생교육,01. 평생교육,01. 평생교육,2142,컴퓨터 강사
04. 교육·자연· 사회과학,02. 평생교육,01. 평생교육,01. 평생교육,2143,기술·기능계 강사
04. 교육·자연· 사회과학,02. 평생교육,01. 평생교육,01. 평생교육,2144,예능 강사
04. 교육·자연· 사회과학,02. 평생교육,01. 평생교육,01. 평생교육,2145,학습지·교육교구 방문강사
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,01. 평생교육프로그램 기획·개발·평가,0262,인사·교육·훈련 사무원
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,01. 평생교육프로그램 기획·개발·평가,2111,대학 교수
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,01. 평생교육프로그램 기획·개발·평가,2112,대학 시간강사
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,01. 평생교육프로그램 기획·개발·평가,2151,장학관·연구관 및 교육 전문가
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,02. 평생교육프로그램 운영·상담·교수,0262,인사·교육·훈련 사무원
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,02. 평생교육프로그램 운영·상담·교수,2111,대학 교수
04. 교육·자연· 사회과학,02. 평생교육,02. 평생교육운영,02. 평생교육프로그램 운영·상담·교수,2112,대학 시간강사
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,01. 경력지도,0222,인사·노무 전문가
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,01. 경력지도,2314,직업상담사
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,02. 기업교육,0222,인사·노무 전문가
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,02. 기업교육,0262,인사·교육·훈련 사무원
