분류번호,명칭,수준,시간
0101010101_17v2,공적개발원조사업 개발전략수립,7,80
0101010102_17v2,공적개발원조사업 사업기획,6,40
0101010103_17v2,공적개발원조사업 PDM수립,5,40
0101010104_17v2,공적개발원조사업 총괄운영관리,5,40
0101010105_17v2,공적개발원조사업 프로젝트 집행,4,80
0101010106_17v2,공적개발원조사업 성과관리,5,40
0101010107_17v2,공적개발원조사업 평가관리,5,40
0101010201_17v2,프로젝트 전략기획,6,120
0101010202_17v2,프로젝트 통합관리,6,80
0101010203_17v2,프로젝트 이해관계자관리,5,80
0101010204_17v2,프로젝트 범위관리,5,60
0101010205_17v2,프로젝트 인적자원관리,4,40
0101010206_17v2,프로젝트 일정관리,4,40
0101010207_17v2,프로젝트 원가관리,4,40
0101010208_17v2,프로젝트 리스크관리,5,60
0101010209_15v1,프로젝트 품질관리,5,60
0101010210_15v1,프로젝트 조달관리,4,40
0101010211_15v1,프로젝트 의사소통관리,5,60
0101010301_16v2,산학협력 사업기획,6,40
0101010310_16v2,대학기술이전 기획,6,32
0101010311_16v2,대학기술이전 성과 관리,5,24
0101010312_16v2,대학기술사업화,7,40
0101010313_16v2,산학협력 연구비관리,4,16
0101010314_16v2,산학협력 과제관리,4,16
0101010315_16v2,대학 창업교육 기획,6,24
0101010316_16v2,대학 창업교육 운영,5,16
0101010317_16v2,입주기업 지원관리,4,24
0101010318_16v2,산학협력 지식재산권 관리전략,6,24
0101010319_16v2,산학협력 지식재산권 운영관리,5,24
0101010320_16v2,산학협력 학술연구진흥,6,24
0101010321_16v1,산학협력 회계관리,6,32
0101020101_15v1,해외법인 설립목적 파악,4,20
0101020102_15v1,해외법인 설립내부역량 분석,4,20
0101020103_15v1,해외법인 설립대상국 분석,4,25
0101020104_15v1,해외법인 설립타당성 검토,5,30
0101020105_15v1,해외법인 설립계획 수립,4,20
0101020106_15v1,해외법인 운영계획 수립,4,20
0101020107_15v1,국내 해외법인 설립절차 진행,3,20
0101020108_15v1,현지 해외법인설립 절차 진행,4,20
0101020109_15v1,해외법인설립 위험 관리,5,30
0101020110_15v1,해외법인 설립 이해 관계자 관리,5,30
0101020201_15v1,해외취업 정보수집,4,20
0101020202_15v1,해외취업 사업기획,5,30
0101020203_15v1,해외구인처 발굴,5,20
0101020204_15v1,해외취업 구직자 발굴,4,20
0101020205_15v1,해외취업 구직자 컨설팅,5,30
0101020206_15v1,해외취업 구직자 교육 훈련,4,20
0101020207_15v1,해외취업 알선,4,20
0101020208_15v1,해외취업 정착 지원,4,20
0101020209_15v1,해외취업자 모니터링,4,20
0101020210_15v1,해외취업 일반관리,3,20
0201010101_22v3,사업환경 분석,4,20
0201010102_22v2,경영방침 수립,7,20
0201010103_22v2,경영계획 수립,6,30
0201010104_22v2,신규사업 기획,6,30
0201010105_22v2,사업별 투자 관리,5,40
0201010106_13v1,예산 관리,4,20
0201010107_22v2,경영실적 분석,5,20
0201010108_22v2,경영 리스크 관리,6,20
0201010109_22v2,이해관계자 관리,5,20
0201010202_22v2,경영평가관련 정보수집,4,30
0201010204_13v1,경영평가방법 설정,5,50
0201010205_13v1,경영평가도구 개발,5,50
0201010206_22v2,경영평가활동 수행,6,40
0201010207_22v2,경영평가 결과보고,5,20
0201010208_13v1,경영평가 모니터링,5,30
0201010209_22v2,경영평가 사후관리,5,30
0201010210_22v3,경영평가계획 수립,6,60
0201020103_18v2,온라인 PR,4,30
0201020104_18v2,오프라인 PR,4,30
0201020105_18v2,언론 홍보,5,30
0201020106_18v2,조직문화 전파,4,20
0201020107_18v2,사회공헌활동,4,20
0201020108_18v2,위기관리,6,40
0201020111_18v3,PR 환경분석,3,20
0201020114_18v3,PR 환경조사,3,20
0201020115_18v4,PR 전략 수립,5,40
0201020116_18v3,PR 활동 평가,4,30
0201020205_18v3,광고 전략 수립,5,30
0201020206_18v3,광고 제작,4,20
0201020207_18v3,광고 집행 관리,4,20
0201020208_18v2,광고 효과 평가,4,20
0201020209_18v2,브랜드 기획,5,30
0201020210_18v3,브랜드 관리,4,20
0201020211_18v3,브랜드 평가,4,20
0201030102_21v5,신상품 기획,5,30
