job_title,skills
AE(광고기획자),"MD, 광고기획, 홍보"
Application engineer,공정 엔지니어링
BTL 광고기획 AE,"BTL 광고기획, 광고관리, 광고기획, 광고제작, 국제회의 기획, 매체구매, 매체기획, 세미나 기획, 전시기획, 컨퍼런스 기획, 회의/컨벤션 기획"
CNC 선반 조작원,"CNC 가공, CNC 선반 기능, CNC 선반 조작, NC 선반 조작"
CNC 선반 조작원(NC 선반 조작원),"CNC 가공, CNC 선반 조작, NC 선반 조작"
CS/사무,"고객 안내 및 판매, 블로그 작성, 상담 예약 작업스케줄 관리, 재고 확인, 제품 발주"
Culinary 서비스크루,조리
"FM(프레시매니저,위탁판매원)",유제품 배달 및 판매
H/W 엔지니어,"IT 기술지원, 광통신, 구축, 소프트웨어 설치, 유지보수, 정보통신 공사, 통신망 가설, 통신망 운영, 통신설계, 하드웨어 설치"
HW 엔지니어,"IT 기술지원, 구축, 소프트웨어 설치, 운영, 유지보수, 정보통신 공사, 통신망 가설, 통신설계, 하드웨어 설치"
IT Helpdesk,IT Helpdesk
IT개발·데이터,"API 개발, EAI 개발, HMI 개발, IT 개발, JAVA, PLC 개발, Spring Boot, 데이터"
Map개발 및 디자이너,"2D 디자인, 3D 디자인, 3D 엔진 개발, GUI 디자인, 그래픽 디자인, 파티클 시스템 개발"
PCB 제조 및 검사,"PCB 검사, PCB 제조, 제품 가공, 제품 검수, 제품 생산, 제품 조립, 품질 검사, 회로 검사"
PC프로그램 개발자,"PC프로그램 개발, 자동제어, 제어"
QA Engineer,생산
Rendering개발,"2D디자인, 3DMAX, 3D디자인, 3D엔진 개발, GUI 디자인, 그래픽디자인, 파티클시스템 개발"
UI/UX 디자이너,UI/UX 디자인
가구 제조·수리원,"가구 조립, 목제품 제조"
가스 배관공,"가스 배관, 가스관 설치, 가스배관 기능, 실험실 장비 설비"
가스·에너지공학 기술자 및 연구원,연구과제 수행
가족·학교·아동·청소년·노인·중독 상담 전문가,가정폭력 상담
가축 사육 종사원,"가축 사육, 양돈"
각종 해설사,"견학담당, 과학해설, 녹색관광 안내, 등산 안내, 문화해설, 미술관 안내, 박물관 안내, 방송국견학 안내, 사파리 안내, 시설소개, 역사해설, 자연환경해설, 행사장 시설 안내"
간호사,"간호, 데이간호, 의료, 이브간호"
