KECO,subNum,name
0111,2,고위공무원
0112,1,기업고위임원
0121,1,정부행정관리자
0122,1,경영지원관리자
0123,1,마케팅·광고·홍보관리자
0124,1,금융관리자
0124,2,보험관리자
0131,1,연구관리자
0132,1,유치원 원장 및 원감
0132,2,초등학교 교장 및 교감
0132,3,중고등학교 교장 및 교감
0132,4,대학교 총장 및 대학학장
0133,5,경찰·소방·교도관리자
0134,1,보건·의료관리자
0135,1,사회복지관리자
0136,1,예술·디자인·방송관리자
0137,1,정보통신관리자
0141,3,여행·호텔관리자
0142,1,음식서비스관리자
0143,1,경비·청소관리자
0151,1,영업·판매관리자
0152,1,운송관리자
0161,1,건설·채굴관리자
0162,1,전기·가스·수도관리자
0163,1,제조·생산관리자
0210,1,정부·공공행정전문가
0221,3,경영·진단전문가
0222,1,노무사
0222,2,인적자원전문가
0231,1,회계사
0232,1,세무사
0233,1,관세사
0234,1,감정평가사
0241,1,광고·홍보·마케팅전문가
0242,3,조사전문가
0243,1,상품기획자
0244,2,공연·영화·음반기획자
0244,4,행사기획자
0251,1,조세행정사무원
0252,1,관세행정사무원
0253,1,병무행정사무원
0254,1,공공행정사무원
0254,2,법원공무원
0261,1,경영기획사무원
0261,2,광고·홍보·마케팅사무원
0261,3,영업기획·관리·지원사무원
0262,1,인사·교육·훈련사무원
0263,1,총무사무원
0264,1,감사사무원
0271,1,회계사무원
0272,1,경리사무원
0281,1,무역사무원
0282,1,도로운송사무원
0282,2,철도·지하철운송사무원
0282,3,항공운송사무원
0282,4,수상운송사무원
0283,1,자재·구매사무원
0283,2,물류사무원
0284,1,생산·품질사무원
0284,2,품질관리사무원
0291,1,안내·접수원
0292,1,고객상담원
0292,2,의료코디네이터
0293,3,통계사무원
0294,1,비서
0295,1,사무보조원
0299,1,출판·자료편집사무원
0299,2,속기사
0299,3,행정사
0299,4,취업알선원
0311,1,투자분석가
0311,2,신용분석가
0312,1,자산운용가
0313,1,보험상품개발자
0313,2,금융상품개발자
0314,1,증권딜러
0315,1,손해사정사
0321,1,은행사무원
0322,1,증권사무원
0323,1,보험심사원
0323,2,보험보상사무원
0324,1,출납창구사무원
0325,1,신용추심원
0332,1,보험대리인 및 중개인
0332,2,보험모집인
1101,1,철학연구원
1101,2,역사학연구원
1101,3,언어학연구원
1101,4,교육학연구원
1101,5,심리학연구원
1102,1,정치학연구원
1102,2,경제학연구원
1102,3,사회학연구원
1211,1,물리학연구원
1211,2,화학연구원
1211,3,수학·통계학연구원
1211,4,생물학연구원
1211,5,지질학연구원
1211,6,천문·기상학연구원
1212,1,자연과학시험원
1221,1,의학연구원
1221,2,약학연구원
1221,3,농학연구원
1221,4,수산학연구원
1221,5,임학·산림학연구원
1221,6,축산학·수의학연구원
1222,1,생명과학시험원
1223,1,농림어업시험원
1311,1,컴퓨터하드웨어기술자 및 연구원
1312,1,통신기기·장비기술자
1312,2,통신기술개발자 
1312,3,통신망운영기술자
1320,2,컴퓨터시스템설계 및 분석가
1320,4,정보통신컨설턴트 및 감리원
1331,1,시스템소프트웨어개발자
1332,1,응용소프트웨어개발자
1332,2,가상현실전문가
1332,4,게임프로그래머
1332,5,모바일앱개발자
1333,1,웹개발자
1333,2,웹기획자
1339,1,IT테스터 및 QA전문가(SW테스터)
1341,1,데이터베이스개발자
1341,2,빅데이터분석가
1342,1,네트워크시스템개발자
1343,1,정보시스템운영자
1343,2,네트워크관리자
1343,3,IT기술지원전문가
1344,1,웹운영자
1350,1,정보보안전문가
1360,1,통신장비기사
1360,2,방송송출장비기사
1401,1,건축가(건축설계사)
1402,1,건축구조기술자
1402,4,건축설비기술자
1402,5,건축감리기술자
1402,6,건축안전·환경·품질·에너지관리기술자
1402,7,건축시공기술자 및 견적원
1403,1,토목구조설계기술자
1403,4,토목감리기술자
1403,5,토목안전·환경·품질기술자
1403,6,토목시공기술자 및 견적원
1404,1,조경기술자
1405,1,도시계획·설계가
1405,2,교통계획·설계가
1405,3,교통영향평가원
1406,1,지적 및 측량기술자
1406,2,지리정보시스템전문가
1407,1,건설자재시험원
1511,1,건설기계공학기술자 및 연구원
1511,2,플랜트기계공학기술자
1511,5,항공공학기술자
1511,7,자동차공학기술자
1511,8,조선·해양공학기술자
1512,1,로봇공학기술자
1513,1,기계시험원
1521,1,금속·재료공학기술자
1522,1,금속·재료공학시험원
1531,1,전기기기·제품개발기술자 및 연구원
1531,2,전기계측제어기술자
1531,3,발전설비기술자
1531,4,송·배전설비기술자
1531,5,전기감리기술자
1531,6,전기안전기술자
1532,1,전자제품 및 부품 개발기술자
1532,2,반도체공학기술자 및 연구원
1532,3,전자계측제어기술자
1532,4,디스플레이연구 및 개발자
1533,1,전기·전자공학시험원
1541,1,석유화학공학기술자 및 연구원
1541,2,고무·플라스틱 화학공학기술자 및 연구원
1541,3,도료·농약품 화학공학기술자 및 연구원
1541,4,비누·화장품 화학공학기술자 및 연구원
1541,5,의약품공학기술자 및 연구원
1542,1,화학공학시험원
1551,2,태양광발전연구 및 개발자
1551,3,풍력발전연구 및 개발자
1551,6,원자력공학기술자
1552,3,에너지시험원
1553,1,대기환경기술자 및 연구원
1553,2,수질환경기술자 및 연구원
1553,3,폐기물처리기술자
1553,4,환경영향평가원
1553,5,소음진동기술자 및 연구원
1553,6,토양환경기술자 및 연구원
1554,1,환경시험원
1555,1,보건위생·환경검사원
1561,1,섬유공학기술자
1562,1,섬유공학시험원
1571,1,식품공학기술자 및 연구원
1572,1,식품공학시험원
1582,1,소방공학기술자 및 연구원
1584,1,산업안전원
1584,2,위험관리원
1585,1,비파괴검사원
1591,3,3D프린팅모델러
1591,4,제도사(캐드원)
2111,1,대학교수
2112,1,대학시간강사
2121,1,중·고등학교교사
2122,1,초등학교교사
2123,1,특수교육교사
2129,1,보조교사
2130,1,유치원교사
2141,1,문리학원강사
2141,2,외국어강사
2142,1,컴퓨터강사
2143,1,기술·기능계강사
2144,1,예능강사
2145,1,학습지·교육교구방문강사
2151,5,교재·교구개발원
2211,1,판사
2211,2,검사
2212,1,변호사
2213,1,법무사 및 집행관
2214,1,변리사
2220,1,법률사무원
2311,1,사회복지사
2312,1,심리상담전문가
2313,1,청소년지도사
2314,1,직업상담사
2315,1,사회단체활동가
2321,1,보육교사
2329,1,생활지도원
2401,1,경찰관
2401,2,해양경찰관
2402,1,소방관
2403,1,교도관
2502,1,위관급 장교
2503,1,부사관
3011,1,내과의사
3011,2,외과의사
3011,3,성형외과의사
3011,4,산부인과의사
3011,5,이비인후과의사
3011,6,안과의사
3011,7,정신과의사
3011,8,소아과의사
3011,9,방사선과의사
3011,10,마취병리과의사
3011,11,비뇨기과의사
3011,12,피부과의사
3011,13,가정의학과의사
3012,1,일반의사
3013,1,한의사
3014,1,치과의사
3020,1,수의사
3030,1,약사
3030,2,한약사
3040,3,보건교사
3040,4,간호사
3050,1,영양사
3061,1,임상병리사
3062,1,방사선사
3063,1,치과기공사
3064,1,치과위생사
3065,1,물리치료사
3065,2,작업치료사
3066,1,임상심리사
3067,1,재활공학기사
3069,1,언어치료사
3069,2,청능치료사
3069,3,놀이치료사
3069,4,예술치료사
3071,1,응급구조사
3073,1,안경사
3074,1,보건의료정보관리사
3075,1,간호조무사
3076,1,안마사
4111,2,소설가
4111,3,영화시나리오작가
4111,4,방송작가
4112,1,번역가
4112,2,통역가
4113,1,출판물기획자
4120,1,신문기자
4120,2,방송기자
4120,3,잡지기자
4131,1,학예사
4131,2,문화재보존원
4132,1,사서
4132,2,기록물관리사
4141,1,화가
4141,2,조각가
4142,1,사진작가 및 사진사
4143,1,만화가
4143,3,만화영화작가(애니메이터)
4144,1,국악인
4145,1,지휘자
4145,2,작곡가
4145,3,연주가
4146,1,가수
4146,2,성악가
4147,1,무용가
4147,2,안무가
4147,3,대중무용수
4151,1,제품디자이너
4152,1,의상디자이너
4152,2,패션소품디자이너
4153,1,실내장식디자이너
4154,4,시각디자이너
4155,1,웹디자이너
4155,2,게임그래픽디자이너
4155,3,영상그래픽디자이너
4155,4,UX·UI디자이너
4161,1,방송연출가
4161,2,영화감독
4161,3,연극연출가
4161,4,광고영상감독
4161,5,기술감독
4162,1,영화배우 및 탤런트
4162,2,모델
4162,3,연극·뮤지컬배우
4162,4,개그맨 및 코미디언
4162,5,성우
4163,1,아나운서
4163,2,리포터
4164,1,촬영기사
4165,1,음향·녹음기사
4166,1,영상·녹화·편집기사
4167,1,조명기사
4171,2,웹방송전문가(콘텐츠제작자)
4172,1,연예인매니저
4201,1,스포츠감독 및 코치
4202,1,직업운동선수
4202,2,프로게이머
4203,1,경기심판
4204,1,스포츠강사
4204,2,스포츠트레이너
4204,3,레크리에이션전문가
5111,1,이용사
5112,1,미용사
5113,1,피부 및 체형관리사
5113,2,네일아티스트
5114,1,메이크업아티스트 
5114,2,분장사
5115,1,반려동물미용사
5115,2,수의사보조원
5121,2,웨딩플래너
5122,1,혼례종사원
5123,1,장례지도사 및 장례상담원
5211,1,여행상품개발자
5212,1,여행사무원
5213,3,자연 및 문화해설사
5213,4,여행안내원
5221,1,항공기객실승무원
5222,1,선박객실승무원
5222,2,열차객실승무원
5230,1,숙박시설서비스원
5240,1,오락시설서비스원
5311,1,주방장
5312,1,한식조리사
5313,1,중식조리사
5314,1,양식조리사
5315,1,일식조리사
5316,1,바텐터
5317,1,음료조리사
5321,1,패스트푸드준비원
5322,1,홀서빙원
5323,1,주방보조원
5324,1,음식배달원
5411,1,경호원
5412,1,청원경찰
5413,1,시설·특수경비원
5420,1,경비원
5501,1,요양간호사 및 간병인
5502,1,육아도우미
5611,1,청소원
5612,1,환경미화원 및 재활용품수거원
5613,1,방역원
5615,1,세탁원(다림질원)
5616,1,가사도우미
5621,1,계기검침원 및 가스점검원
5623,1,주차관리·안내원
5624,1,검표원
6110,1,부동산중개인
6121,1,기술영업원
6122,1,해외영업원
6123,1,자동차영업원
6124,1,제품광고영업원
6125,1,상품중개인 및 경매사
6130,1,텔레마케터
6140,1,소규모판매점장
6151,1,상점판매원
6152,3,통신기기·서비스판매원
6153,1,온라인판매원
6154,1,상품대여원
6155,1,노점 및 이동판매원
6156,1,방문판매원
6157,1,주유원
6161,1,계산원 
6162,1,매표원 및 복권판매원
6171,1,홍보도우미 및 판촉원
6211,1,항공기조종사
6211,2,헬리콥터조종사
6212,1,선장 및 항해사
6212,3,선박기관사
6213,1,철도·전동차기관사
6214,1,항공교통관제사
6214,2,선박교통관제사
6214,3,철도교통관제사
6219,1,신호원 및 수송원
6221,1,택시운전원
6222,1,버스운전원
6223,4,화물차·특수차운전원
6230,1,크레인·호이스트운전원
6230,2,지게차운전원
6241,1,택배원
6242,1,우편물집배원
6243,1,선박갑판원
6244,1,하역·적재종사원
7011,1,강구조물가공원 및 건립원
7012,1,경량철골공
7013,1,철근공
7014,1,콘크리트공
7015,1,건축석공
7016,1,건축목공
7016,2,전통건축기능원
7017,1,조적원
7021,1,미장공
7022,1,방수공
7023,1,단열공
7024,1,타일·대리석시공원
7025,1,도배공
7025,2,유리부착원
7026,1,건물도장공
7027,1,섀시조립·설치원
7031,1,배관공
7032,1,공업배관공
7040,1,건설·채굴기계운전원
7051,1,광원·채석원 및 석재절단원
7052,1,철로설치·보수원
7059,1,점화·발파·화약관리원
7059,2,잠수기능원
7060,1,건설·채굴단순종사원
8111,1,공업기계설치·정비원
8112,1,승강기설치·정비원
8113,1,물품이동장비설치·정비원
8114,1,냉동·냉장·공조기설치·정비원
8115,1,보일러설치·정비원
8116,1,건설·광업기계설치·정비원
8119,1,농업용 및 기타 기계장비설치·정비원
8121,1,항공기정비원
8121,2,헬리콥터정비원
8122,1,선박정비원
8123,1,철도기관차·전동차정비원
8124,1,자동차정비원
8129,1,오토바이정비원
8129,2,자전거판매 및 수리원
8131,1,금형원
8132,1,금속공작기계조작원
8140,1,냉·난방설비조작원
8150,1,자동조립라인·산업용 로봇조작원
8161,3,일반기계조립원
8171,1,자동차조립원
8172,1,자동차부품조립·검사원
8173,1,선박조립원
8211,1,금속가공제어장치조작원
8212,1,금속가공기계조작원
8221,1,판금원 및 판금기조작원
8223,1,제관원 및 제관기조작원
8231,1,단조원 및 단조기조작원
8233,1,주조원 및 주조기조작원
8241,1,용접원 및 용접기조작원
8251,1,도장원(도장기조작원)
8252,1,도금·금속분무기조작원
8261,1,유리·유리제품생산기계조작원
8262,1,점토제품생산기계조작원
8263,1,시멘트·광물제품생산기계조작원
8264,1,광석·석제품생산기계조작원
8311,1,산업전기공
8312,1,내선전기공
8313,1,외선전기공
8321,1,사무용 전자기기설치·수리원
8322,1,가전제품설치·수리원
8330,1,발전·배전장치조작원
8340,1,전기·전자설비조작원
8351,1,전기부품·제품생산기계조작원
8352,1,전자부품·제품생산기계조작원
8360,1,전기·전자부품·제품조립원
8411,1,컴퓨터설치·수리원
8412,1,이동전화기수리원
8421,1,방송장비설치·수리원
8422,1,통신장비설치·수리원
8423,1,방송·통신·인터넷케이블 설치·수리원
8511,1,석유·천연가스제조제어장치조작원
8512,1,화학물가공장치조작원
8521,1,타이어·고무제품생산기계조작원
8522,1,플라스틱제품생산기계조작원
8523,1,화학제품생산기계조작원(고무·플라스틱 제외)
8524,1,고무·플라스틱 제품 조립원
8531,1,상·하수도처리장치조작원
8532,1,재활용 처리장치·소각로조작원
8611,1,섬유제조기계조작원
8612,1,직조기·편직기조작원
8613,1,표백·염색기조작원
8621,1,패턴사
8622,1,재단사
8623,1,재봉사
8631,1,한복제조원
8632,1,양장·양복제조원
8634,1,의복·가죽·모피수선원
8641,1,제화원
8642,1,신발제조기계조작원 및 조립원
8643,1,세탁기계조작원
8711,1,제과·제빵원
8712,1,떡제조원
8721,1,정육원 및 도축원
8722,1,김치·밑반찬 제조종사원
8723,1,식품·담배등급원
8731,1,육류·어패류·낙농품가공기계조작원
8732,1,제분·도정기계조작원
8733,1,곡물가공제품기계조작원
8734,1,과실·채소기계조작원
8735,1,음료제조기계조작원
8811,1,인쇄기계조작원
8812,1,사진인화·현상기조작원(사진수정 포함)
8821,1,목재가공기계조작원
8822,1,펄프·종이제조장치조작원
8823,1,종이제품생산기계조작원
8831,1,가구제조·수리원
8832,1,가구조립원
8841,1,공예원
8842,1,귀금속·보석세공원
8851,1,악기제조원 및 조율사
8852,1,간판제작·설치원
8859,2,포장원
9011,1,곡식작물재배원
9012,1,채소·특용작물재배원
9013,1,과수작물재배원
9014,1,원예작물재배원
9015,1,조경원
9021,1,낙농종사원
9022,1,가축사육종사원
9031,1,조림·산림경영인 및 벌목원
9041,1,양식원
9042,1,어부 및 해녀
