job_title,texts
생산 (공정)  및 물류관리,"(최소 1년 0 개월 이상), 우대, 학력무관, 기간의 정함이 없는 근로계약, 2명, 입사지원현황통계, 부산광역시, 강서구, 녹산산업중로 126, (주)세정엠티엘 (송정동), 생산·품질 사무원 및 관리원(기계·자동차·금속), 생산관리원"
연구원,"(최소 5년 6 개월 이상), 우대, 학력무관, 기간의 정함이 없는 근로계약, 2명, 입사지원현황통계, 부산광역시, 강서구, 녹산산단289로 36, 부산 강서구 녹산산업중로 401.(송정동) (송정동), 기계공학 기술자 및 연구원, 지그설계기술자, ,, 구조해석엔지니어(기계), ,, Mask/Reticle 제조공정 설계기술자, ,, 자동화기계설계기술자"
냉동수산물(참치류) 가공원 모집,"학력무관, 기간의 정함이 없는 근로계약, 5명, 입사지원현황통계, 부산광역시, 강서구, 녹산산업북로 400  (송정동), 식품 분야 단순 종사원, 식품분야 단순노무자"
자동차부품 제조업(3차밴드) 생산재고관리 및 품질 관리자 모집,"생산,구매·자재·물류, 무관, 학력무관, 정규직, 0명, 부산 사상구, 부산 2호선, 모덕역, 0번출구, 800m, 근무형태 :, 주 6일 근무, (월~토), 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[서구 월평동] 바른정플란트치과 치과위생사 스텝 모집공고,"의료, 무관, 대졸(2~3년), 정규직, 0명, 대전 서구, 대전 1호선, 갈마역, 0번출구, 500m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
일산 타이어공간 신입 경력자 모집,"영업·판매·무역, 무관, 고졸, 정규직, 0명, 경기 고양시 일산동구, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
원주 단계동 마이테라스 주방 직원 구합니다,"서비스,영업·판매·무역, 무관, 학력무관, 정규직, 0명, 강원 원주시, 11:00~20:00, 해당없음, 연차,장기근속자 포상,구내식당(사원식당),명절선물/귀향비,카페테리아,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
토익스피킹 단기파트강사,"교육, 무관, 대졸(2~3년), 시간제, 0명, 경기 안양시 만안구, 수도권 1호선, 안양역, 0번출구, 300m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
에스에듀 정규 사무직원 모십니다 [주5일],"총무·법무·사무, 무관, 대졸(2~3년), 정규직, 0명, 서울 서초구, 수도권 9호선, 고속터미널역, 0번출구, 300m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
채영수피부과 두피관리사 채용 (두피관리및간단데스크업무),"의료, 신입, ,, 경력, (최소 1년, 이상), 고졸, 시간제, 0명, 울산 남구, 근무형태 :, 주 3일 근무, (격일제), 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
해피투어 사무행정 직원 채용,"총무·법무·사무, 신입, ,, 경력, (최소 1년, 이상), 학력무관, 계약직 후 정규직 전환 검토, 0명, 경기 군포시, 수도권 1호선, 군포역, 0번출구, 800m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
CJ대한통운) 해슬리나인브릿지 코스관리 채용,"미디어·문화·스포츠, 경력, (최소 1년, 이상), 대졸(2~3년), 정규직, 0명, 경기 여주시, 퇴직금, 창립일행사,워크샵,플레이샵,신규 입사자 교육(OJT),직무능력향상교육,리더십 강화교육,외국어 교육 지원,연차,반차,휴가비지원,포상휴가,인센티브제,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),기숙사 운영,직원대출제도,구내식당(사원식당),통근버스 운행,점심식사 제공,저녁식사 제공,각종 경조사 지원,사내동호회 운영,야근수당,휴일(특근)수당,연차수당,수평적 조직문화,창립일선물지급,생일선물/파티,산전 후 휴가,육아휴직,휴게실,수면실,회의실,공기청정기,카페테리아,휴양시설 제공,장애인 전용주차장,비상경보장치,자유복장,유니폼지급,아침식사 제공,간식 제공,음료제공(차,커피),주택자금 융자,주차장제공,사원증,자회사 제품할인,콘도/리조트 이용권,본인학자금,통신비 지원,자녀학자금,4대 보험,사무용품 지급, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
