ncsClCd,compeUnitName,level
0101010101,공적개발원조사업 개발전략수립,7
0101010102,공적개발원조사업 사업기획,6
0101010103,공적개발원조사업 PDM수립,5
0101010104,공적개발원조사업 총괄운영관리,5
0101010105,공적개발원조사업 프로젝트 집행,4
0101010106,공적개발원조사업 성과관리,5
0101010107,공적개발원조사업 평가관리,5
0101010201,프로젝트 전략기획,6
0101010202,프로젝트 통합관리,6
0101010203,프로젝트 이해관계자관리,5
0101010204,프로젝트 범위관리,5
0101010205,프로젝트 인적자원관리,4
0101010206,프로젝트 일정관리,4
0101010207,프로젝트 원가관리,4
0101010208,프로젝트 리스크관리,5
0101010209,프로젝트 품질관리,5
0101010210,프로젝트 조달관리,4
0101010211,프로젝트 의사소통관리,5
0101010301,산학협력 사업기획,6
0101010310,대학기술이전 기획,6
0101010311,대학기술이전 성과 관리,5
0101010312,대학기술사업화,7
0101010313,산학협력 연구비관리,4
0101010314,산학협력 과제관리,4
0101010315,대학 창업교육 기획,6
0101010316,대학 창업교육 운영,5
0101010317,입주기업 지원관리,4
0101010318,산학협력 지식재산권 관리전략,6
0101010319,산학협력 지식재산권 운영관리,5
0101010320,산학협력 학술연구진흥,6
0101010321,산학협력 회계관리,6
0101020101,해외법인 설립목적 파악,4
0101020102,해외법인 설립내부역량 분석,4
0101020103,해외법인 설립대상국 분석,4
0101020104,해외법인 설립타당성 검토,5
0101020105,해외법인 설립계획 수립,4
0101020106,해외법인 운영계획 수립,4
0101020107,국내 해외법인 설립절차 진행,3
0101020108,현지 해외법인설립 절차 진행,4
0101020109,해외법인설립 위험 관리,5
0101020110,해외법인 설립 이해 관계자 관리,5
0101020201,해외취업 정보수집,4
0101020202,해외취업 사업기획,5
0101020203,해외구인처 발굴,5
0101020204,해외취업 구직자 발굴,4
0101020205,해외취업 구직자 컨설팅,5
0101020206,해외취업 구직자 교육 훈련,4
0101020207,해외취업 알선,4
0101020208,해외취업 정착 지원,4
0101020209,해외취업자 모니터링,4
