ncsClCd,KECO,name
01010101,210.0,정부·공공행정 전문가
01010101,254.0,국가·지방행정 사무원
01010101,255.0,공공행정 사무원
01010102,261.0,기획·마케팅 사무원
01010103,263.0,총무 사무원 및 대학 행정조교
01010201,261.0,기획·마케팅 사무원
01010202,2314.0,직업상담사
02010101,210.0,정부·공공행정 전문가
02010101,221.0,경영·진단 전문가
02010101,254.0,국가·지방행정 사무원
02010101,255.0,공공행정 사무원
02010101,261.0,기획·마케팅 사무원
02010102,221.0,경영·진단 전문가
02010102,261.0,기획·마케팅 사무원
02010201,241.0,광고·홍보 전문가
02010201,261.0,기획·마케팅 사무원
02010202,241.0,광고·홍보 전문가
02010202,261.0,기획·마케팅 사무원
02010301,221.0,경영·진단 전문가
02010301,241.0,광고·홍보 전문가
02010301,261.0,기획·마케팅 사무원
02010302,243.0,상품 기획자
02010302,261.0,기획·마케팅 사무원
02010302,292.0,고객 상담원 및 모니터 요원
02010303,242.0,조사 전문가
02010303,293.0,통계 사무원
02010304,261.0,기획·마케팅 사무원
02010304,283.0,자재·구매·물류 사무원
02020101,210.0,정부·공공행정 전문가
02020101,254.0,국가·지방행정 사무원
02020101,255.0,공공행정 사무원
02020101,263.0,총무 사무원 및 대학 행정조교
02020102,263.0,총무 사무원 및 대학 행정조교
02020103,263.0,총무 사무원 및 대학 행정조교
02020201,222.0,인사·노무 전문가
02020201,262.0,인사·교육·훈련 사무원
02020202,222.0,인사·노무 전문가
02020202,262.0,인사·교육·훈련 사무원
02020301,294.0,비서
02020302,210.0,정부·공공행정 전문가
02020302,254.0,국가·지방행정 사무원
02020302,255.0,공공행정 사무원
02020302,263.0,총무 사무원 및 대학 행정조교
02020302,295.0,전산자료 입력원 및 사무 보조원
02030101,263.0,총무 사무원 및 대학 행정조교
02030101,271.0,회계 사무원
02030101,272.0,경리 사무원
02030102,263.0,총무 사무원 및 대학 행정조교
02030102,271.0,회계 사무원
02030102,272.0,경리 사무원
02030201,231.0,회계사
02030201,232.0,세무사
02030201,264.0,감사 사무원
02030201,271.0,회계 사무원
02030202,231.0,회계사
02030202,232.0,세무사
02030202,233.0,관세사
02030202,251.0,조세행정 사무원
02030202,252.0,관세행정 사무원
02030202,271.0,회계 사무원
