job_title,texts
경리 사무원 및 캐드 정규직 채용,"매입 매출등 회사의 일반적인 경리업무및 캐드 업무, 경리,결산,급여관리,세무,회계,전산회계,자금, 경력, (최소 1년, 이상), 학력무관, 정규직, 2명, 부산 강서구, 국민연금, 건강보험, 고용보험, 산재보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
어선원구함,"학력무관, 기간의 정함이 없는 근로계약, 2명, 입사지원현황통계, 충청남도, 서천군, 장항읍 장산로 548, ., 어업 단순 종사원"
사회복지사 (장애인재활상담사)모집,"장애인 지역사회 자립 지원 시범 사업 관련 업무자격.면허 : 사회복지사 자격증 소지자- 사회복지사 (1급)- 장애인 재활 상담사 (1급)- 운전면허 소지자(실제 운전 가능자), 학력무관, 기간의 정함이 없는 근로계약, 1명, 입사지원현황통계, 충청남도, 보령시, 주교면 보령북로 404, 사회복지사(사회복지시설), 장애인사회복지사"
성남 [월 328만] SPC 샤니 생산/물류 [정규직/상여금/학자금/기숙사],"생산 / 물류, 제품포장,제품생산,제품조립,제품제조,제품검품,입출고관리,창고관리,물류관리,운반·하역, 신입, ,, 경력, (년수무관), 학력무관, 정규직, 0명, 경기 성남시 중원구, 경기 성남시 수정구, 경기 성남시 분당구, 경기 광주시, 경기, 서울 송파구, 서울 강동구, 서울, 인천, 인천 서구, 인천 부평구, 인천 계양구, 인천 미추홀구, 서울 강북구, 서울 관악구, 수도권 8호선, 모란역, 1번출구, 3km, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 통근버스, ,, 교육비, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
광명 헬스보이짐 철산점에서 함께 근무하실 트레이너 선생님들을 모집합니다.,"주요업무 - 헬스트레이너 - 회원들의 건강을 책임지며 운동 프로그램을 지도합니다. - 체력 향상을 위한 다양한 운동 방법을 가르칩니다.  - 다양한 연령층의 사람들에게 운동 교육을 제공합니다. - 체중 강량이나 근육 강화를 도와주는 운동을 지도합니다., 트레이너, 신입, ,, 경력, (년수무관), 학력무관, 정규직, 0명, 경기 광명시, 수도권 7호선, 철산역, 2번출구, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
루미나르 피부과 - 간호보조 모집 (간호조무사 / 무 자격증 가능),"[피부과] - 간호 보조 - 병원 사무, 간호조무사,기타의료직, 신입, ,, 경력, (년수무관), 고졸, 정규직, 1명, 경기 성남시 수정구, 경기 성남시 분당구, 경기 성남시 중원구, 수도권 8호선, 산성역, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"(주)태성축산유통 - 한우 육가공 업체 납품,배송- 경력자우대 (1.5톤 탑차 운전필수)","한우 포장육 납품배송, 거래처관리 외, 배송,납품,운반,식품영업, 신입, ,, 경력, (년수무관), 고졸, 정규직, 1명, 서울 성동구, 근무형태 :, 국민연금, 건강보험, 고용보험, 산재보험, 중식비, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
(주)태성축산유통 식품(정육) 온라인 MD 경력직 채용 (팀장급/팀원 각1명),"ㆍB2C/B2B 식품 온라인 유통 채널 발굴 및 영업 (종합몰/전문몰/직매입 채널 등) ㆍ채널별 프로모션 기획 및 운영 ㆍ브랜드 컨텐츠 및 상세페이지 기획 ㆍ채널별 매출/실적 분석 및 손익 관리 ㆍ온라인 판매채널 운영 전략 수립, 상품기획, 경력, (최소 3년, 이상), 학력무관, 정규직, 0명, 서울 성동구, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 중식비, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
반도체 공정 생산직 사원 모집,"반도체  생산 (클린룸 근무) 조립, 측정, 검사등 반도체 공정, 반도체, 신입, 고졸, 계약직, 0명, 대전 유성구, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 교육비, ,, 주택자금, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
재가요양보호사 모집,"학력무관, 기간의 정함이 없는 근로계약(시간(선택)제), 1명, 입사지원현황통계, 경기도, 남양주시, 늘을3로 8, .. (호평동, 주공Humansia), 재가 간병인"
